LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1740487273.351963,3150345.000,48863,3,PG,1,100,17331
1740487273.391965,3150385.000,48881,3,PG,1,100,17333
1740487273.431967,3150425.000,48881,3,PG,1,100,17312
1740487273.471968,3150465.000,48881,3,PG,1,100,17339
1740487273.511970,3150505.000,48897,2,PG,1,100,17355
1740487273.551972,3150545.000,48897,2,PG,1,100,17363
1740487273.591973,3150585.000,48914,3,PG,1,100,17359
1740487273.631975,3150625.000,48914,3,PG,1,100,17378
1740487273.671977,3150665.000,48914,3,PG,1,100,17357
1740487273.711978,3150705.000,48930,2,PG,1,100,17349
1740487273.751980,3150745.000,48930,2,PG,1,100,17362
1740487273.791982,3150785.000,48948,3,PG,1,100,17377
1740487273.831983,3150825.000,48948,3,PG,1,100,17377
1740487273.871985,3150865.000,48948,3,PG,1,100,17369
1740487273.911986,3150905.000,48964,2,PG,1,100,17363
1740487273.951988,3150945.000,48964,2,PG,1,100,17382
1740487273.991990,3150985.000,48984,4,PG,1,100,17338
1740487274.031991,3151025.000,48984,4,PG,1,100,17320
1740487274.071993,3151065.000,48984,4,PG,1,100,17328
1740487274.111995,3151105.000,48984,4,PG,1,100,17346
1740487274.151996,3151145.000,49003,2,PG,1,100,17355
1740487274.191998,3151185.000,49003,2,PG,1,100,17373
1740487274.232000,3151225.000,49020,3,PG,1,100,17369
1740487274.272001,3151265.000,49020,3,PG,1,100,17369
1740487274.312003,3151305.000,49020,3,PG,1,100,17377
1740487274.352004,3151345.000,49036,2,PG,1,100,17382
1740487274.392006,3151385.000,49036,2,PG,1,100,17372
1740487274.432008,3151425.000,49054,3,PG,1,100,17382
1740487274.472009,3151465.000,49054,3,PG,1,100,17382
1740487274.512011,3151505.000,49054,3,PG,1,100,17387
1740487274.552013,3151545.000,49070,2,PG,1,100,17376
1740487274.592014,3151585.000,49070,2,PG,1,100,17348
1740487274.632016,3151625.000,49085,3,PG,1,100,17306
1740487274.672018,3151665.000,49085,3,PG,1,100,17307
1740487274.712019,3151705.000,49085,3,PG,1,100,17311
1740487274.752021,3151745.000,49102,2,PG,1,100,17315
1740487274.792022,3151785.000,49102,2,PG,1,100,17333
1740487274.836358,3151829.333,49121,3,PG,1,100,17337
1740487274.880693,3151873.667,49121,3,PG,1,100,17337
1740487274.925028,3151918.000,49121,3,PG,1,100,17354
1740487274.965030,3151958.000,49137,2,PG,1,100,17343
1740487275.005031,3151998.000,49137,2,PG,1,100,17332
1740487275.045033,3152038.000,49153,3,PG,1,100,17365
1740487275.085034,3152078.000,49153,3,PG,1,100,17368
1740487275.125036,3152118.000,49153,3,PG,1,100,17358
1740487275.165038,3152158.000,49169,2,PG,1,100,17360
1740487275.205039,3152198.000,49169,2,PG,1,100,17367
1740487275.245041,3152238.000,49186,3,PG,1,100,17351
1740487275.285043,3152278.000,49186,3,PG,1,100,17308
1740487275.325044,3152318.000,49186,3,PG,1,100,17270
1740487275.365046,3152358.000,49202,2,PG,1,100,17283
1740487275.405048,3152398.000,49202,2,PG,1,100,17299
1740487275.445049,3152438.000,49220,3,PG,1,100,17296
1740487275.485051,3152478.000,49220,3,PG,1,100,17306
1740487275.525052,3152518.000,49220,3,PG,1,100,17320
1740487275.565054,3152558.000,49236,2,PG,1,100,17316
1740487275.605056,3152598.000,49236,2,PG,1,100,17331
1740487275.645057,3152638.000,49253,3,PG,1,100,17341
1740487275.685059,3152678.000,49253,3,PG,1,100,17321
1740487275.725061,3152718.000,49253,3,PG,1,100,17333
1740487275.765062,3152758.000,49270,3,PG,1,100,17346
1740487275.805064,3152798.000,49270,3,PG,1,100,17337
1740487275.845066,3152838.000,49270,3,PG,1,100,17340
1740487275.885067,3152878.000,49285,2,PG,1,100,17347
1740487275.925069,3152918.000,49285,2,PG,1,100,17314
1740487275.965070,3152958.000,49301,3,PG,1,100,17260
1740487276.005072,3152998.000,49301,3,PG,1,100,17247
1740487276.045074,3153038.000,49301,3,PG,1,100,17274
1740487276.085075,3153078.000,49319,2,PG,1,100,17265
1740487276.125077,3153118.000,49319,2,PG,1,100,17290
1740487276.165079,3153158.000,49337,3,PG,1,100,17283
1740487276.205080,3153198.000,49337,3,PG,1,100,17298
1740487276.245082,3153238.000,49337,3,PG,1,100,17286
1740487276.285084,3153278.000,49353,4,PG,1,100,17298
1740487276.325085,3153318.000,49353,4,PG,1,100,17290
1740487276.365087,3153358.000,49353,4,PG,1,100,17298
1740487276.405088,3153398.000,49353,4,PG,1,100,17304
1740487276.445090,3153438.000,49370,3,PG,1,100,17310
1740487276.485092,3153478.000,49370,3,PG,1,100,17309
1740487276.525093,3153518.000,49370,3,PG,1,100,17311
1740487276.565095,3153558.000,49387,2,PG,1,100,17318
1740487276.605097,3153598.000,49387,2,PG,1,100,17321
1740487276.645098,3153638.000,49401,3,PG,1,100,17294
1740487276.685100,3153678.000,49401,3,PG,1,100,17240
1740487276.725102,3153718.000,49401,3,PG,1,100,17229
1740487276.765103,3153758.000,49419,2,PG,1,100,17243
1740487276.805105,3153798.000,49419,2,PG,1,100,17245
1740487276.845106,3153838.000,49437,3,PG,1,100,17270
1740487276.885108,3153878.000,49437,3,PG,1,100,17286
1740487276.925110,3153918.000,49437,3,PG,1,100,17284
1740487276.965111,3153958.000,49454,3,PG,1,100,17283
1740487277.005113,3153998.000,49454,3,PG,1,100,17285
1740487277.045115,3154038.000,49454,3,PG,1,100,17287
1740487277.091617,3154084.500,49469,2,PG,1,100,17285
1740487277.138118,3154131.000,49469,2,PG,1,100,17300
1740487277.178120,3154171.000,49486,2,PG,1,100,17305
1740487277.218122,3154211.000,49486,2,PG,1,100,17304
1740487277.258123,3154251.000,49502,3,PG,1,100,17312
1740487277.298125,3154291.000,49502,3,PG,1,100,17305
1740487277.338127,3154331.000,49502,3,PG,1,100,17316
1740487277.378128,3154371.000,49519,2,PG,1,100,17276
1740487277.418130,3154411.000,49519,2,PG,1,100,17280
1740487277.458132,3154451.000,49535,3,PG,1,100,17267
1740487277.498133,3154491.000,49535,3,PG,1,100,17273
1740487277.538135,3154531.000,49535,3,PG,1,100,17277
1740487277.578137,3154571.000,49553,2,PG,1,100,17291
1740487277.618138,3154611.000,49553,2,PG,1,100,17315
1740487277.658140,3154651.000,49569,3,PG,1,100,17296
1740487277.698141,3154691.000,49569,3,PG,1,100,17305
1740487277.738143,3154731.000,49569,3,PG,1,100,17311
1740487277.778145,3154771.000,49587,2,PG,1,100,17308
1740487277.818146,3154811.000,49587,2,PG,1,100,17319
1740487277.858148,3154851.000,49602,3,PG,1,100,17322
1740487277.898150,3154891.000,49602,3,PG,1,100,17336
1740487277.938151,3154931.000,49602,3,PG,1,100,17321
1740487277.978153,3154971.000,49618,3,PG,1,100,17322
1740487278.018155,3155011.000,49618,3,PG,1,100,17331
1740487278.058156,3155051.000,49618,3,PG,1,100,17317
1740487278.098158,3155091.000,49635,2,PG,1,100,17285
1740487278.138159,3155131.000,49635,2,PG,1,100,17288
1740487278.178161,3155171.000,49652,3,PG,1,100,17293
1740487278.218163,3155211.000,49652,3,PG,1,100,17302
1740487278.258164,3155251.000,49652,3,PG,1,100,17310
1740487278.298166,3155291.000,49670,2,PG,1,100,17325
1740487278.338168,3155331.000,49670,2,PG,1,100,17343
1740487278.378169,3155371.000,49686,3,PG,1,100,17340
1740487278.418171,3155411.000,49686,3,PG,1,100,17337
1740487278.458173,3155451.000,49686,3,PG,1,100,17346
1740487278.498174,3155491.000,49702,3,PG,1,100,17343
1740487278.538176,3155531.000,49702,3,PG,1,100,17342
1740487278.578177,3155571.000,49702,3,PG,1,100,17340
1740487278.618179,3155611.000,49719,2,PG,1,100,17358
1740487278.658181,3155651.000,49719,2,PG,1,100,17355
1740487278.698182,3155691.000,49735,3,PG,1,100,17368
1740487278.738184,3155731.000,49735,3,PG,1,100,17386
1740487278.778186,3155771.000,49735,3,PG,1,100,17358
1740487278.818187,3155811.000,49752,2,PG,1,100,17337
1740487278.858189,3155851.000,49752,2,PG,1,100,17313
1740487278.898191,3155891.000,49767,3,PG,1,100,17322
1740487278.938192,3155931.000,49767,3,PG,1,100,17341
1740487278.978194,3155971.000,49767,3,PG,1,100,17348
1740487279.018195,3156011.000,49786,2,PG,1,100,17350
1740487279.058197,3156051.000,49786,2,PG,1,100,17361
1740487279.098199,3156091.000,49810,4,PG,1,100,17356
1740487279.138200,3156131.000,49810,4,PG,1,100,17361
1740487279.178202,3156171.000,49810,4,PG,1,100,17373
1740487279.218204,3156211.000,49810,4,PG,1,100,17372
1740487279.258205,3156251.000,49827,2,PG,1,100,17365
1740487279.298207,3156291.000,49827,2,PG,1,100,17382
1740487279.342542,3156335.333,49843,3,PG,1,100,17369
1740487279.386877,3156379.667,49843,3,PG,1,100,17391
1740487279.431212,3156424.000,49843,3,PG,1,100,17384
1740487279.471214,3156464.000,49859,2,PG,1,100,17375
1740487279.511216,3156504.000,49859,2,PG,1,100,17349
1740487279.551217,3156544.000,49875,3,PG,1,100,17329
1740487279.591219,3156584.000,49875,3,PG,1,100,17336
1740487279.631221,3156624.000,49875,3,PG,1,100,17365
1740487279.671222,3156664.000,49892,2,PG,1,100,17378
1740487279.711224,3156704.000,49892,2,PG,1,100,17393
1740487279.751225,3156744.000,49911,3,PG,1,100,17395
1740487279.791227,3156784.000,49911,3,PG,1,100,17379
1740487279.831229,3156824.000,49911,3,PG,1,100,17384
1740487279.871230,3156864.000,49926,2,PG,1,100,17391
1740487279.911232,3156904.000,49926,2,PG,1,100,17388
1740487279.951234,3156944.000,49942,3,PG,1,100,17387
1740487279.991235,3156984.000,49942,3,PG,1,100,17402
1740487280.031237,3157024.000,49942,3,PG,1,100,17398
1740487280.071239,3157064.000,49960,2,PG,1,100,17385
1740487280.111240,3157104.000,49960,2,PG,1,100,17404
1740487280.151242,3157144.000,49976,3,PG,1,100,17410
1740487280.191243,3157184.000,49976,3,PG,1,100,17400
1740487280.231245,3157224.000,49976,3,PG,1,100,17367
1740487280.271247,3157264.000,49991,2,PG,1,100,17322
1740487280.311248,3157304.000,49991,2,PG,1,100,17336
1740487280.351250,3157344.000,50007,3,PG,1,100,17331
1740487280.391252,3157384.000,50007,3,PG,1,100,17339
1740487280.431253,3157424.000,50007,3,PG,1,100,17359
1740487280.471255,3157464.000,50027,3,PG,1,100,17362
1740487280.511257,3157504.000,50027,3,PG,1,100,17345
1740487280.551258,3157544.000,50027,3,PG,1,100,17351
1740487280.591260,3157584.000,50043,2,PG,1,100,17369
1740487280.631262,3157624.000,50043,2,PG,1,100,17359
1740487280.671263,3157664.000,50059,3,PG,1,100,17379
1740487280.711265,3157704.000,50059,3,PG,1,100,17367
1740487280.751266,3157744.000,50059,3,PG,1,100,17374
1740487280.791268,3157784.000,50075,3,PG,1,100,17373
1740487280.831270,3157824.000,50075,3,PG,1,100,17376
1740487280.871271,3157864.000,50075,3,PG,1,100,17388
1740487280.911273,3157904.000,50092,2,PG,1,100,17389
1740487280.951275,3157944.000,50092,2,PG,1,100,17344
1740487280.991276,3157984.000,50108,3,PG,1,100,17294
1740487281.031278,3158024.000,50108,3,PG,1,100,17280
1740487281.071280,3158064.000,50108,3,PG,1,100,17287
1740487281.111281,3158104.000,50126,2,PG,1,100,17292
1740487281.151283,3158144.000,50126,2,PG,1,100,17304
1740487281.191284,3158184.000,50143,3,PG,1,100,17319
1740487281.231286,3158224.000,50143,3,PG,1,100,17317
1740487281.271288,3158264.000,50143,3,PG,1,100,17321
1740487281.311289,3158304.000,50159,2,PG,1,100,17329
1740487281.351291,3158344.000,50159,2,PG,1,100,17323
1740487281.391293,3158384.000,50176,3,PG,1,100,17348
1740487281.431294,3158424.000,50176,3,PG,1,100,17347
1740487281.471296,3158464.000,50176,3,PG,1,100,17357
1740487281.511298,3158504.000,50193,3,PG,1,100,17371
1740487281.551299,3158544.000,50193,3,PG,1,100,17366
1740487281.591301,3158584.000,50193,3,PG,1,100,17368
1740487281.637803,3158630.500,50209,2,PG,1,100,17363
1740487281.684305,3158677.000,50209,2,PG,1,100,17365
1740487281.724806,3158717.500,50225,2,PG,1,100,17311
1740487281.765308,3158758.000,50225,2,PG,1,100,17268
1740487281.804976,3158797.667,50241,3,PG,1,100,17266
1740487281.844645,3158837.333,50241,3,PG,1,100,17292
1740487281.884313,3158877.000,50241,3,PG,1,100,17288
1740487281.924314,3158917.000,50260,2,PG,1,100,17305
1740487281.964316,3158957.000,50260,2,PG,1,100,17310
1740487282.004318,3158997.000,50276,3,PG,1,100,17319
1740487282.044319,3159037.000,50276,3,PG,1,100,17323
1740487282.084321,3159077.000,50276,3,PG,1,100,17312
1740487282.124323,3159117.000,50292,2,PG,1,100,17321
1740487282.164324,3159157.000,50292,2,PG,1,100,17340
1740487282.204326,3159197.000,50308,3,PG,1,100,17343
1740487282.244328,3159237.000,50308,3,PG,1,100,17340
1740487282.284329,3159277.000,50308,3,PG,1,100,17351
1740487282.324331,3159317.000,50325,3,PG,1,100,17362
1740487282.364332,3159357.000,50325,3,PG,1,100,17346
1740487282.404334,3159397.000,50325,3,PG,1,100,17360
1740487282.444336,3159437.000,50342,2,PG,1,100,17338
1740487282.484337,3159477.000,50342,2,PG,1,100,17288
1740487282.524339,3159517.000,50357,3,PG,1,100,17290
1740487282.564341,3159557.000,50357,3,PG,1,100,17285
1740487282.604342,3159597.000,50357,3,PG,1,100,17315
1740487282.644344,3159637.000,50375,2,PG,1,100,17321
1740487282.684346,3159677.000,50375,2,PG,1,100,17327
1740487282.724347,3159717.000,50393,3,PG,1,100,17325
1740487282.764349,3159757.000,50393,3,PG,1,100,17334
1740487282.804350,3159797.000,50393,3,PG,1,100,17324
1740487282.844352,3159837.000,50409,2,PG,1,100,17339
1740487282.884354,3159877.000,50409,2,PG,1,100,17351
1740487282.924355,3159917.000,50424,3,PG,1,100,17355
1740487282.964357,3159957.000,50424,3,PG,1,100,17358
1740487283.004359,3159997.000,50424,3,PG,1,100,17375
1740487283.044360,3160037.000,50441,3,PG,1,100,17369
1740487283.084362,3160077.000,50441,3,PG,1,100,17370
1740487283.124364,3160117.000,50441,3,PG,1,100,17379
1740487283.164365,3160157.000,50458,2,PG,1,100,17348
1740487283.204367,3160197.000,50458,2,PG,1,100,17319
1740487283.244368,3160237.000,50474,3,PG,1,100,17333
1740487283.284370,3160277.000,50474,3,PG,1,100,17359
1740487283.324372,3160317.000,50474,3,PG,1,100,17378
1740487283.364373,3160357.000,50493,2,PG,1,100,17388
1740487283.404375,3160397.000,50493,2,PG,1,100,17388
1740487283.444377,3160437.000,50508,3,PG,1,100,17384
1740487283.484378,3160477.000,50508,3,PG,1,100,17384
1740487283.524380,3160517.000,50508,3,PG,1,100,17376
1740487283.564382,3160557.000,50525,3,PG,1,100,17401
1740487283.604383,3160597.000,50525,3,PG,1,100,17407
1740487283.644385,3160637.000,50525,3,PG,1,100,17396
1740487283.684387,3160677.000,50541,2,PG,1,100,17407
1740487283.724388,3160717.000,50541,2,PG,1,100,17414
1740487283.764390,3160757.000,50559,3,PG,1,100,17407
1740487283.804391,3160797.000,50559,3,PG,1,100,17417
1740487283.844393,3160837.000,50559,3,PG,1,100,17391
1740487283.891395,3160884.000,50573,2,PG,1,100,17371
1740487283.938397,3160931.000,50573,2,PG,1,100,17358
1740487283.978399,3160971.000,50590,2,PG,1,100,17380
1740487284.018400,3161011.000,50590,2,PG,1,100,17403
1740487284.058402,3161051.000,50609,3,PG,1,100,17400
1740487284.098403,3161091.000,50609,3,PG,1,100,17408
1740487284.138405,3161131.000,50609,3,PG,1,100,17413
1740487284.178207,3161170.800,50633,5,PG,1,100,17406
1740487284.218008,3161210.600,50633,5,PG,1,100,17402
1740487284.257810,3161250.400,50633,5,PG,1,100,17409
1740487284.297612,3161290.200,50633,5,PG,1,100,17430
1740487284.337413,3161330.000,50633,5,PG,1,100,17418
1740487284.377915,3161370.500,50649,2,PG,1,100,17425
1740487284.418417,3161411.000,50649,2,PG,1,100,17424
1740487284.458085,3161450.667,50667,3,PG,1,100,17442
1740487284.497753,3161490.333,50667,3,PG,1,100,17438
1740487284.537421,3161530.000,50667,3,PG,1,100,17425
1740487284.577923,3161570.500,50683,2,PG,1,100,17394
1740487284.618425,3161611.000,50683,2,PG,1,100,17377
1740487284.658426,3161651.000,50698,3,PG,1,100,17393
1740487284.698428,3161691.000,50698,3,PG,1,100,17412
1740487284.738430,3161731.000,50698,3,PG,1,100,17423
1740487284.777931,3161770.500,50717,2,PG,1,100,17421
1740487284.817433,3161810.000,50717,2,PG,1,100,17437
1740487284.857435,3161850.000,50734,3,PG,1,100,17435
1740487284.897436,3161890.000,50734,3,PG,1,100,17432
1740487284.937438,3161930.000,50734,3,PG,1,100,17430
1740487284.977439,3161970.000,50750,2,PG,1,100,17435
1740487285.017441,3162010.000,50750,2,PG,1,100,17446
1740487285.057693,3162050.250,50767,4,PG,1,100,17438
1740487285.097944,3162090.500,50767,4,PG,1,100,17450
1740487285.138196,3162130.750,50767,4,PG,1,100,17460
1740487285.178448,3162171.000,50767,4,PG,1,100,17442
1740487285.218449,3162211.000,50783,2,PG,1,100,17457
1740487285.258451,3162251.000,50783,2,PG,1,100,17434
1740487285.298119,3162290.667,50799,3,PG,1,100,17420
1740487285.337788,3162330.333,50799,3,PG,1,100,17404
1740487285.377456,3162370.000,50799,3,PG,1,100,17409
1740487285.417457,3162410.000,50816,2,PG,1,100,17435
1740487285.457459,3162450.000,50816,2,PG,1,100,17449
1740487285.497461,3162490.000,50835,3,PG,1,100,17449
1740487285.537462,3162530.000,50835,3,PG,1,100,17453
1740487285.577464,3162570.000,50835,3,PG,1,100,17454
1740487285.617966,3162610.500,50850,2,PG,1,100,17447
1740487285.658467,3162651.000,50850,2,PG,1,100,17464
1740487285.698136,3162690.667,50867,3,PG,1,100,17453
1740487285.737804,3162730.333,50867,3,PG,1,100,17466
1740487285.777472,3162770.000,50867,3,PG,1,100,17469
1740487285.817474,3162810.000,50883,2,PG,1,100,17476
